original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"9th Fl.,Peninsular House,30-36 Monument St.,London,EC3R 8LJ",1493,4,51.5097588,-0.0852738,"Red Hat, 30-36 Monument Street, City of London, EC3R 8NB, United Kingdom",Red Hat,30-36,Monument Street,Cornhill,EC3R 8NB,City of London,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9th Fl.,Skypark 1,8 Elliot Place,Glasgow,G3 8EP,Scotland",1494,4,55.860577,-4.2800908,"Elliot Place, Glasgow, G3 8EP, United Kingdom",Elliot Place,,Elliot Place,Finnieston,G3 8EP,Cranstonhill,Glasgow,Glasgow City,GLG,Scotland,SCT,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9th Fl.2 Minster Court,Mincing Lane,London EC3R 7FH",1495,4,51.510585250000005,-0.08092281428331233,"1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",,1,Mincing Lane,Cornhill,EC3R 7AA,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"Abbey Cloisters,Abbey Green,Chertsey,Surrey,KT16 8RB",1496,4,51.3931229,-0.5023662,"Abbey Green, Runnymede, KT16 8RB, United Kingdom",Abbey Green,,Abbey Green,,KT16 8RB,,Borough of Runnymede,Surrey,SRY,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,Aberaman Ind.Estate Aberaman Aberdare.Mid Glamorgan CF44 6DA,1497,4,51.716259,-3.446302,"Aberdare Community (Aberdare), CF44 6DA, United Kingdom",,,,,CF44 6DA,Aberdare Community,Aberdare,Rhondda Cynon Taf,RCT,Wales,WLS,United Kingdom,gb,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aberaman Ind.Estate,Aberaman Aberdare.Mid Glamorgan CF44 6DA",1498,4,51.70307,-3.43026,"Aberaman Community (Aberaman), CF44 6DA, United Kingdom",,,,,CF44 6DA,Aberaman Community,Aberaman,Rhondda Cynon Taf,RCT,Wales,WLS,United Kingdom,gb,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aberaman Ind.Estate,Aberaman Aberdare.Mid Glamorgan,CF44 6DA",1499,4,51.70307,-3.43026,"Aberaman Community (Aberaman), CF44 6DA, United Kingdom",,,,,CF44 6DA,Aberaman Community,Aberaman,Rhondda Cynon Taf,RCT,Wales,WLS,United Kingdom,gb,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aberaman Park Ind.Estate,Aberaman Aberdare.Mid Glamorgan CF44 6DA",1500,4,52.663642,-1.580326,United Kingdom,United Kingdom,,,,,,,,,,,United Kingdom,gb,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aberaman Park Ind.Estate,Aberaman Aberdare.Mid Glamorgan Wales",1501,4,52.140232,-3.651471,"Wales, United Kingdom",Wales,,,,,,,,,,,United Kingdom,gb,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"Aberaman Park Ind.Estate,Aberaman Aberdare.Mid Glamorgan,CF44 6DA",1502,4,52.663642,-1.580326,United Kingdom,United Kingdom,,,,,,,,,,,United Kingdom,gb,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
